chemical,strain,precision,recall,f1,support
Boric Acid,BL011,0.9803921568627451,1.0,0.9900990099009901,100
Boric Acid,BL027,0.9801980198019802,0.99,0.9850746268656716,100
Boric Acid,BL032,0.4444444444444444,0.32,0.37209302325581395,100
Boric Acid,BL031,0.42857142857142855,0.27,0.3312883435582822,100
Boric Acid,BL030,0.8,0.12,0.20869565217391303,100
Boric Acid,BL029,0.43333333333333335,0.13,0.2,100
DEET,BL030,0.918918918918919,0.68,0.7816091954022989,100
DEET,BL029,0.8923076923076924,0.58,0.703030303030303,100
DEET,BL027,0.5,0.4,0.4444444444444444,100
DEET,BL011,0.4666666666666667,0.35,0.4,100
DEET,BL032,0.423728813559322,0.25,0.31446540880503143,100
DEET,BL031,0.475,0.19,0.2714285714285714,100
Diazinon,BL029,0.9578947368421052,0.91,0.9333333333333333,100
Diazinon,BL030,0.6991869918699187,0.86,0.7713004484304933,100
Diazinon,BL032,0.7692307692307693,0.7,0.7329842931937173,100
Diazinon,BL031,0.5684210526315789,0.54,0.5538461538461539,100
Diazinon,BL011,0.2777777777777778,0.15,0.19480519480519481,100
Diazinon,BL027,0.26,0.13,0.17333333333333334,100
Metaldehyde,BL027,0.9333333333333333,0.7,0.8,100
Metaldehyde,BL011,0.8783783783783784,0.6565656565656566,0.7514450867052023,99
Metaldehyde,BL029,0.5531914893617021,0.65,0.5977011494252874,80
Metaldehyde,BL030,0.7636363636363637,0.42,0.5419354838709678,100
Metaldehyde,BL031,0.2727272727272727,0.09,0.13533834586466165,100
Metaldehyde,BL032,0.14285714285714285,0.05,0.07407407407407407,100
Propoxur,BL027,0.6477272727272727,0.57,0.6063829787234043,100
Propoxur,BL030,0.7666666666666667,0.46,0.575,100
Propoxur,BL011,0.611764705882353,0.52,0.5621621621621622,100
Propoxur,BL029,0.6779661016949152,0.4,0.5031446540880503,100
Propoxur,BL032,0.59375,0.38,0.4634146341463415,100
Propoxur,BL031,0.3486238532110092,0.38,0.36363636363636365,100
Trimethoprim,BL032,0.8677685950413223,0.8076923076923077,0.8366533864541833,130
Trimethoprim,BL031,0.8533333333333334,0.64,0.7314285714285714,100
Trimethoprim,BL027,0.864406779661017,0.51,0.6415094339622641,100
Trimethoprim,BL011,0.8653846153846154,0.45,0.5921052631578947,100
Trimethoprim,BL030,0.5081967213114754,0.5535714285714286,0.5299145299145299,112
Trimethoprim,BL029,0.48598130841121495,0.5048543689320388,0.49523809523809526,103
