strain,chemical,concentration,experiment,replicate,auc,max_signal,min_signal,time_to_peak,initial_slope,final_signal
BL011,Metaldehyde,500.0,1.0,1.0,3512.5,21.0,0.0,670.0,-0.4,2.0
BL011,Metaldehyde,500.0,1.0,2.0,3867.5,18.0,0.0,175.0,0.2,1.0
BL011,Metaldehyde,500.0,1.0,3.0,4162.5,18.0,0.0,180.0,0.0,1.0
BL011,Metaldehyde,500.0,1.0,4.0,7937.5,31.0,0.0,205.0,-0.2,2.0
BL011,Metaldehyde,50.0,1.0,1.0,3360.0,20.0,0.0,225.0,-0.4,1.0
BL011,Metaldehyde,50.0,1.0,2.0,4032.5,19.0,0.0,215.0,0.0,1.0
BL011,Metaldehyde,50.0,1.0,3.0,4237.5,23.0,0.0,195.0,0.0,0.0
BL011,Metaldehyde,50.0,1.0,4.0,8362.5,30.0,0.0,240.0,0.2,1.0
BL011,Metaldehyde,5.0,1.0,1.0,3427.5,17.0,0.0,210.0,-0.4,1.0
BL011,Metaldehyde,5.0,1.0,2.0,3730.0,20.0,0.0,225.0,0.0,1.0
BL011,Metaldehyde,5.0,1.0,3.0,4242.5,28.0,0.0,215.0,0.8,0.0
BL011,Metaldehyde,5.0,1.0,4.0,10087.5,37.0,0.0,215.0,0.8,1.0
BL011,Metaldehyde,0.5,1.0,1.0,3340.0,14.0,0.0,175.0,0.0,1.0
BL011,Metaldehyde,0.5,1.0,2.0,4027.5,20.0,0.0,185.0,-0.4,1.0
BL011,Metaldehyde,0.5,1.0,3.0,5632.5,20.0,0.0,220.0,0.2,1.0
BL011,Metaldehyde,0.5,1.0,4.0,9830.0,26.0,0.0,195.0,-0.6,3.0
BL011,Metaldehyde,0.05,1.0,1.0,3372.5,15.0,0.0,190.0,0.0,1.0
BL011,Metaldehyde,0.05,1.0,2.0,3780.0,19.0,0.0,220.0,0.6,0.0
BL011,Metaldehyde,0.05,1.0,3.0,5620.0,19.0,0.0,195.0,-0.8,2.0
BL011,Metaldehyde,0.05,1.0,4.0,10872.5,31.0,1.0,225.0,1.0,2.0
BL011,Metaldehyde,500.0,2.0,1.0,7057.5,20.0,0.0,155.0,-1.0,3.0
BL011,Metaldehyde,500.0,2.0,2.0,5982.5,35.0,0.0,150.0,0.0,2.0
BL011,Metaldehyde,500.0,2.0,3.0,6225.0,33.0,0.0,150.0,-0.2,3.0
BL011,Metaldehyde,500.0,2.0,4.0,9582.5,49.0,0.0,150.0,-0.8,2.0
BL011,Metaldehyde,50.0,2.0,1.0,4857.5,24.0,0.0,155.0,-0.2,2.0
BL011,Metaldehyde,50.0,2.0,2.0,5937.5,33.0,0.0,170.0,0.2,1.0
BL011,Metaldehyde,50.0,2.0,3.0,5992.5,31.0,0.0,165.0,-0.2,2.0
BL011,Metaldehyde,50.0,2.0,4.0,10747.5,47.0,1.0,145.0,-0.2,3.0
