strain,chemical,concentration,experiment,replicate,peak_to_baseline_ratio,fold_change,max_derivative,min_derivative,signal_decay_rate,auc_early,auc_mid,auc_late
BL011,Metaldehyde,500.0,1.0,1.0,3.0,-0.7142857142857143,4.0,-3.8,-0.024675324675324677,2127.5,627.5,757.5
BL011,Metaldehyde,500.0,1.0,2.0,4.5,-0.75,1.6,-1.0,-0.013438735177865613,2582.5,512.5,772.5
BL011,Metaldehyde,500.0,1.0,3.0,4.5,-0.75,1.6,-1.4,-0.013492063492063493,2710.0,582.5,870.0
BL011,Metaldehyde,500.0,1.0,4.0,4.428571428571429,-0.7142857142857143,1.6,-2.0,-0.02348178137651822,5452.5,1057.5,1427.5
BL011,Metaldehyde,50.0,1.0,1.0,2.857142857142857,-0.8571428571428571,1.8,-1.6,-0.015637860082304528,2115.0,520.0,725.0
BL011,Metaldehyde,50.0,1.0,2.0,4.75,-0.75,1.6,-1.8,-0.014693877551020407,2557.5,645.0,830.0
BL011,Metaldehyde,50.0,1.0,3.0,4.6,-1.0,1.4,-1.6,-0.018473895582329317,2892.5,477.5,867.5
BL011,Metaldehyde,50.0,1.0,4.0,5.0,-0.8333333333333334,1.6,-1.4,-0.024166666666666666,5402.5,1167.5,1792.5
BL011,Metaldehyde,5.0,1.0,1.0,4.25,-0.75,0.8,-1.2,-0.013008130081300813,2155.0,490.0,782.5
BL011,Metaldehyde,5.0,1.0,2.0,6.666666666666667,-0.6666666666666666,1.2,-1.2,-0.015637860082304528,2522.5,502.5,705.0
BL011,Metaldehyde,5.0,1.0,3.0,9.333333333333334,-1.0,2.4,-3.2,-0.022857142857142857,2855.0,567.5,820.0
BL011,Metaldehyde,5.0,1.0,4.0,6.166666666666667,-0.8333333333333334,2.4,-2.0,-0.029387755102040815,6652.5,1312.5,2122.5
BL011,Metaldehyde,0.5,1.0,1.0,2.8,-0.8,1.2,-1.0,-0.010276679841897233,2037.5,530.0,772.5
BL011,Metaldehyde,0.5,1.0,2.0,3.3333333333333335,-0.8333333333333334,1.2,-1.2,-0.015139442231075698,2700.0,492.5,835.0
BL011,Metaldehyde,0.5,1.0,3.0,3.3333333333333335,-0.8333333333333334,1.4,-1.4,-0.01557377049180328,2917.5,762.5,1952.5
BL011,Metaldehyde,0.5,1.0,4.0,2.3636363636363638,-0.7272727272727273,1.8,-2.0,-0.018473895582329317,5660.0,1342.5,2827.5
BL011,Metaldehyde,0.05,1.0,1.0,3.75,-0.75,1.2,-1.2,-0.0112,2155.0,440.0,777.5
BL011,Metaldehyde,0.05,1.0,2.0,4.75,-1.0,1.6,-1.4,-0.01557377049180328,2390.0,540.0,850.0
BL011,Metaldehyde,0.05,1.0,3.0,3.1666666666666665,-0.6666666666666666,1.2,-1.4,-0.013654618473895583,2967.5,827.5,1825.0
BL011,Metaldehyde,0.05,1.0,4.0,4.428571428571429,-0.7142857142857143,1.4,-2.0,-0.023868312757201648,6237.5,1467.5,3167.5
BL011,Metaldehyde,500.0,2.0,1.0,1.4285714285714286,-0.7857142857142857,1.8,-1.2,-0.013229571984435798,3202.5,687.5,3167.5
BL011,Metaldehyde,500.0,2.0,2.0,3.1818181818181817,-0.8181818181818182,2.2,-2.0,-0.02558139534883721,4285.0,602.5,1095.0
BL011,Metaldehyde,500.0,2.0,3.0,2.5384615384615383,-0.7692307692307693,1.8,-2.6,-0.023255813953488372,4430.0,610.0,1185.0
BL011,Metaldehyde,500.0,2.0,4.0,2.5789473684210527,-0.8947368421052632,1.8,-2.4,-0.03643410852713178,7092.5,825.0,1665.0
BL011,Metaldehyde,50.0,2.0,1.0,2.1818181818181817,-0.8181818181818182,1.2,-1.4,-0.017120622568093387,3045.0,625.0,1187.5
BL011,Metaldehyde,50.0,2.0,2.0,4.125,-0.875,3.0,-2.8,-0.025196850393700787,4182.5,600.0,1155.0
BL011,Metaldehyde,50.0,2.0,3.0,2.3846153846153846,-0.8461538461538461,1.8,-1.0,-0.022745098039215685,4120.0,700.0,1172.5
BL011,Metaldehyde,50.0,2.0,4.0,3.357142857142857,-0.7857142857142857,3.6,-2.0,-0.03397683397683398,7345.0,1190.0,2212.5
BL011,Metaldehyde,5.0,2.0,1.0,2.090909090909091,-0.9090909090909091,1.6,-1.6,-0.017254901960784313,3170.0,620.0,1185.0
BL011,Metaldehyde,5.0,2.0,2.0,3.0,-0.9,1.4,-1.6,-0.02292490118577075,4022.5,650.0,1150.0
BL011,Metaldehyde,5.0,2.0,3.0,3.6,-0.9,1.2,-1.6,-0.02766798418972332,4427.5,710.0,1280.0
BL011,Metaldehyde,5.0,2.0,4.0,2.9411764705882355,-0.8823529411764706,2.4,-2.2,-0.03764705882352941,7750.0,1487.5,2605.0
BL011,Metaldehyde,0.5,2.0,1.0,1.8181818181818181,-0.9090909090909091,1.6,-2.2,-0.015767634854771784,2972.5,625.0,1092.5
BL011,Metaldehyde,0.5,2.0,2.0,2.3636363636363638,-0.8181818181818182,2.0,-1.0,-0.0192,3742.5,535.0,1125.0
