strain,chemical,concentration,experiment,replicate,auc,max_signal,min_signal,time_to_peak,initial_slope,final_signal,auc_zexp,max_signal_zexp,min_signal_zexp,time_to_peak_zexp,initial_slope_zexp,final_signal_zexp,auc_zstrain_exp,max_signal_zstrain_exp,min_signal_zstrain_exp,time_to_peak_zstrain_exp,initial_slope_zstrain_exp,final_signal_zstrain_exp
BL011,Metaldehyde,500.0,1.0,1.0,3512.5,21.0,0.0,670.0,-0.4,2.0,-0.370164721703683,-0.5845841677854886,-0.47556370500913936,1.6893729648393205,-0.6348087311609121,-0.23420765239703734,-0.528125278730608,-0.5512412756001595,-0.4665654626218747,2.1945593442526428,-0.46794976114605186,-0.46308014870823544
BL011,Metaldehyde,500.0,1.0,2.0,3867.5,18.0,0.0,175.0,0.2,1.0,-0.3701589808756551,-0.5846282196910797,-0.47556370500913936,-0.036638675266267025,-0.6334347718670598,-0.23422811813697092,-0.5280539482091223,-0.5514655265699696,-0.4665654626218747,0.17696415699669196,-0.4610200238357854,-0.4648305382834705
BL011,Metaldehyde,500.0,1.0,3.0,4162.5,18.0,0.0,180.0,0.0,1.0,-0.3701542103284206,-0.5846282196910797,-0.47556370500913936,-0.019204214255099477,-0.6338927582983439,-0.23422811813697092,-0.527994673550423,-0.5514655265699696,-0.4665654626218747,0.19734390636291368,-0.4633299362725409,-0.4648305382834705
BL011,Metaldehyde,500.0,1.0,4.0,7937.5,31.0,0.0,205.0,-0.2,2.0,-0.37009316349516636,-0.5844373281001847,-0.47556370500913936,0.06796809080073828,-0.6343507447296279,-0.23420765239703734,-0.5272361588501173,-0.5504937723674589,-0.4665654626218747,0.2992426531940223,-0.4656398487092964,-0.46308014870823544
BL011,Metaldehyde,50.0,1.0,1.0,3360.0,20.0,0.0,225.0,-0.4,1.0,-0.37016718783403296,-0.5845988517540189,-0.47556370500913936,0.13770593484540847,-0.6348087311609121,-0.23422811813697092,-0.5281559207151899,-0.5513160259234295,-0.4665654626218747,0.38076165065890927,-0.46794976114605186,-0.4648305382834705
BL011,Metaldehyde,50.0,1.0,2.0,4032.5,19.0,0.0,215.0,0.0,1.0,-0.3701563126034731,-0.5846135357225494,-0.47556370500913936,0.10283701282307338,-0.6338927582983439,-0.23422811813697092,-0.5280207945864599,-0.5513907762466996,-0.4665654626218747,0.34000215192646577,-0.4633299362725409,-0.4648305382834705
BL011,Metaldehyde,50.0,1.0,3.0,4237.5,23.0,0.0,195.0,0.0,0.0,-0.3701529974774288,-0.5845547998484277,-0.47556370500913936,0.033099168778403174,-0.6338927582983439,-0.2342485838769045,-0.5279796037219401,-0.5510917749536194,-0.4665654626218747,0.2584831544615789,-0.4633299362725409,-0.4665809278587056
BL011,Metaldehyde,50.0,1.0,4.0,8362.5,30.0,0.0,240.0,0.2,1.0,-0.37008629067287946,-0.5844520120687151,-0.47556370500913936,0.19000931787891112,-0.6334347718670598,-0.23422811813697092,-0.5271507631553809,-0.550568522690729,-0.4665654626218747,0.44190089875757443,-0.4610200238357854,-0.4648305382834705
BL011,Metaldehyde,5.0,1.0,1.0,3427.5,17.0,0.0,210.0,-0.4,1.0,-0.37016609626814034,-0.5846429036596101,-0.47556370500913936,0.08540255181190583,-0.6348087311609121,-0.23422811813697092,-0.5281423578695553,-0.5515402768932397,-0.4665654626218747,0.31962240256024405,-0.46794976114605186,-0.4648305382834705
BL011,Metaldehyde,5.0,1.0,2.0,3730.0,20.0,0.0,225.0,0.0,1.0,-0.3701612044358067,-0.5845988517540189,-0.47556370500913936,0.13770593484540847,-0.6338927582983439,-0.23422811813697092,-0.5280815762280077,-0.5513160259234295,-0.4665654626218747,0.38076165065890927,-0.4633299362725409,-0.4648305382834705
BL011,Metaldehyde,5.0,1.0,3.0,4242.5,28.0,0.0,215.0,0.8,0.0,-0.37015291662069605,-0.5844813800057759,-0.47556370500913936,0.10283701282307338,-0.6320608125732073,-0.2342485838769045,-0.5279785990667079,-0.550718023337269,-0.4665654626218747,0.34000215192646577,-0.4540902865255189,-0.4665809278587056
BL011,Metaldehyde,5.0,1.0,4.0,10087.5,37.0,0.0,215.0,0.8,1.0,-0.3700583951000679,-0.5843492242890024,-0.47556370500913936,0.10283701282307338,-0.6320608125732073,-0.23422811813697092,-0.5268041571002743,-0.5500452704278386,-0.4665654626218747,0.34000215192646577,-0.4540902865255189,-0.4648305382834705
BL011,Metaldehyde,0.5,1.0,1.0,3340.0,14.0,0.0,175.0,0.0,1.0,-0.3701675112609641,-0.5846869555652012,-0.47556370500913936,-0.036638675266267025,-0.6338927582983439,-0.23422811813697092,-0.5281599393361187,-0.5517645278630499,-0.4665654626218747,0.17696415699669196,-0.4633299362725409,-0.4648305382834705
